Waypoint(Transform(Location(x=-39.355190, y=-139.115448, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-41.354729, y=-139.158279, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-43.354271, y=-139.201126, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-45.353813, y=-139.243958, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-47.353352, y=-139.286789, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-49.352894, y=-139.329636, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-51.352436, y=-139.372467, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-53.351978, y=-139.415298, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-55.351517, y=-139.458145, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-57.351059, y=-139.500977, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-59.350601, y=-139.543808, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-61.350143, y=-139.586655, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-65.079285, y=-139.666550, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-65.079285, y=-139.666550, z=0.000000), Rotation(pitch=0.000000, yaw=-538.772705, roll=0.000000)))
Waypoint(Transform(Location(x=-67.078827, y=-139.709381, z=0.000000), Rotation(pitch=0.000000, yaw=-538.772705, roll=0.000000)))
Waypoint(Transform(Location(x=-68.789940, y=-139.826828, z=0.000000), Rotation(pitch=0.000000, yaw=-169.526230, roll=0.000000)))
Waypoint(Transform(Location(x=-70.273148, y=-140.299194, z=0.000000), Rotation(pitch=0.000000, yaw=-155.143524, roll=0.000000)))
Waypoint(Transform(Location(x=-71.592537, y=-141.125168, z=0.000000), Rotation(pitch=0.000000, yaw=-140.760803, roll=0.000000)))
Waypoint(Transform(Location(x=-72.665413, y=-142.252991, z=0.000000), Rotation(pitch=0.000000, yaw=-126.378098, roll=0.000000)))
Waypoint(Transform(Location(x=-73.545364, y=-143.697662, z=0.000000), Rotation(pitch=0.000000, yaw=-116.349586, roll=0.000000)))
Waypoint(Transform(Location(x=-74.161568, y=-145.274017, z=0.000000), Rotation(pitch=0.000000, yaw=-106.352287, roll=0.000000)))
Waypoint(Transform(Location(x=-74.494751, y=-146.933395, z=0.000000), Rotation(pitch=0.000000, yaw=-96.354996, roll=0.000000)))
Waypoint(Transform(Location(x=-74.539406, y=-148.688828, z=0.000000), Rotation(pitch=0.000000, yaw=-88.405090, roll=0.000000)))
Waypoint(Transform(Location(x=-74.476700, y=-150.781693, z=0.000000), Rotation(pitch=360.000000, yaw=271.837372, roll=0.000000)))
Waypoint(Transform(Location(x=-74.476700, y=-150.781693, z=0.000000), Rotation(pitch=360.000000, yaw=271.837372, roll=0.000000)))
Waypoint(Transform(Location(x=-74.409302, y=-152.759537, z=0.000000), Rotation(pitch=360.000000, yaw=272.066559, roll=0.000000)))
Waypoint(Transform(Location(x=-74.333984, y=-154.737106, z=0.000000), Rotation(pitch=360.000000, yaw=272.295746, roll=0.000000)))
Waypoint(Transform(Location(x=-74.250732, y=-156.714371, z=0.000000), Rotation(pitch=360.000000, yaw=272.524933, roll=0.000000)))
Waypoint(Transform(Location(x=-74.159599, y=-158.691254, z=0.000000), Rotation(pitch=360.000000, yaw=272.754120, roll=0.000000)))
Waypoint(Transform(Location(x=-74.060547, y=-160.667770, z=0.000000), Rotation(pitch=360.000000, yaw=272.983276, roll=0.000000)))
Waypoint(Transform(Location(x=-73.953621, y=-162.643875, z=0.000000), Rotation(pitch=360.000000, yaw=273.212463, roll=0.000000)))
Waypoint(Transform(Location(x=-73.840073, y=-164.635376, z=0.000000), Rotation(pitch=360.000000, yaw=273.270172, roll=0.000000)))
Waypoint(Transform(Location(x=-73.725983, y=-166.632111, z=0.000000), Rotation(pitch=360.000000, yaw=273.270172, roll=0.000000)))
Waypoint(Transform(Location(x=-73.611893, y=-168.628860, z=0.000000), Rotation(pitch=360.000000, yaw=273.270172, roll=0.000000)))
Waypoint(Transform(Location(x=-73.497803, y=-170.625595, z=0.000000), Rotation(pitch=360.000000, yaw=273.270172, roll=0.000000)))
Waypoint(Transform(Location(x=-73.383713, y=-172.622345, z=0.000000), Rotation(pitch=360.000000, yaw=273.270172, roll=0.000000)))
